"ID","Etapa_fenologica"
"vcXtM2TOMPOOB050180.extra.kraken2.report","Desarrollo"
"iYASM2TOMPOOA050195.extra.kraken2.report","Desarrollo"
"XR8LM2TOMPOOB051125.extra.kraken2.report","Desarrollo"
"TECcM2TOMPOOA051310.extra.kraken2.report","Desarrollo"
"FvY2M2TOMPOOB051329.extra.kraken2.report","Desarrollo"
"abKIM2TOMPOOA051320.extra.kraken2.report","Desarrollo"
"cuu6M2TOMPOOB051315.extra.kraken2.report","Desarrollo"
"s9OmM2TOMPOOB051285.extra.kraken2.report","Desarrollo"
"Nm8MM2TOMPOOA051300.extra.kraken2.report","Desarrollo"
"IGpcM2TOMPOOB051290.extra.kraken2.report","Desarrollo"
"a50wM2TOMPOOB051350.extra.kraken2.report","Desarrollo"
"OeS0M2TOMPOOA051355.extra.kraken2.report","Desarrollo"
"dSz8M2TOMPOOA051340.extra.kraken2.report","Desarrollo"
"aFJgM2TOMPOOM090325.extra.kraken2.report","Por transplantar"
"cSObM2TOMPOOM080315.extra.kraken2.report","Llenado de Fruto"
"wQqUM2TOMPOOA080335.extra.kraken2.report","Llenado de Fruto"
"0n7bM2TOMPOOA100365.extra.kraken2.report","Produccion"
"1qGgM2TOMPOOM080340.extra.kraken2.report","Llenado de Fruto"
"9JUZM2TOMPOOB100355.extra.kraken2.report","Produccion"
"AYtCM2TOMPOOA100360.extra.kraken2.report","Produccion"
"DYZgM2TOMPOOB100370.extra.kraken2.report","Produccion"
"nG3jM2TOMPOOA051345.extra.kraken2.report","Desarrollo"
